2014-12-14 00:07:31,080 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2014-12-14 00:07:31,266 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 6ms)
2014-12-14 00:07:32,163 [7] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Initializing Examine and binding to business logic events
2014-12-14 00:07:32,950 [7] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Adding examine event handlers for index providers: 3
2014-12-14 00:07:32,960 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplication
2014-12-14 00:07:32,975 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 14ms)
2014-12-14 00:07:33,196 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.ITree
2014-12-14 00:07:33,221 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 24ms)
2014-12-14 00:07:33,382 [7] INFO  umbraco.content - [Thread 11] Loading content from disk cache...
2014-12-14 00:08:09,343 [7] INFO  Umbraco.Core.PluginManager - [Thread 5] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2014-12-14 00:08:09,350 [7] INFO  Umbraco.Core.PluginManager - [Thread 5] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 17 (took 6ms)
2014-12-14 00:10:00,627 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2014-12-14 00:10:00,635 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Hash determined (took 4ms)
2014-12-14 00:10:00,641 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2014-12-14 00:10:00,774 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 132ms)
2014-12-14 00:10:00,788 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2014-12-14 00:10:00,792 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 4ms)
2014-12-14 00:10:00,793 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2014-12-14 00:10:00,796 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 3ms)
2014-12-14 00:10:00,796 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2014-12-14 00:10:00,802 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 3 (took 5ms)
2014-12-14 00:10:00,805 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2014-12-14 00:10:00,809 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 4ms)
2014-12-14 00:10:00,810 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2014-12-14 00:10:00,813 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 3ms)
2014-12-14 00:10:01,445 [10] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Initializing Examine and binding to business logic events
2014-12-14 00:10:01,608 [10] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Adding examine event handlers for index providers: 3
2014-12-14 00:10:01,614 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplication
2014-12-14 00:10:01,624 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 10ms)
2014-12-14 00:10:01,671 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.ITree
2014-12-14 00:10:01,696 [10] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 24ms)
2014-12-14 00:10:01,801 [10] INFO  umbraco.content - [Thread 5] Loading content from disk cache...
2014-12-14 00:10:19,019 [10] INFO  umbraco.BasePages.BasePage - [Thread 14] User admin (Id: 0) logged in
2014-12-14 00:10:19,110 [10] INFO  Umbraco.Core.PluginManager - [Thread 6] Starting resolution types of umbraco.BusinessLogic.Actions.IActionHandler
2014-12-14 00:10:19,114 [10] INFO  Umbraco.Core.PluginManager - [Thread 6] Completed resolution of types of umbraco.BusinessLogic.Actions.IActionHandler, found 1 (took 3ms)
2014-12-14 00:10:19,219 [10] INFO  Umbraco.Core.PluginManager - [Thread 6] Starting resolution types of umbraco.interfaces.ITree
2014-12-14 00:10:19,241 [10] INFO  Umbraco.Core.PluginManager - [Thread 6] Completed resolution of types of umbraco.interfaces.ITree, found 36 (took 22ms)
2014-12-14 00:10:20,181 [10] INFO  Umbraco.Core.PluginManager - [Thread 6] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2014-12-14 00:10:20,184 [10] INFO  Umbraco.Core.PluginManager - [Thread 6] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 17 (took 3ms)
2014-12-14 00:10:42,032 [10] INFO  Umbraco.Core.PluginManager - [Thread 8] Starting resolution types of umbraco.interfaces.ICacheRefresher
2014-12-14 00:10:42,054 [10] INFO  Umbraco.Core.PluginManager - [Thread 8] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 22 (took 21ms)
2014-12-14 00:11:10,902 [10] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 20] Content 'Home' with Id '1068' has been unpublished.
2014-12-14 00:11:11,407 [10] INFO  umbraco.content - [Thread 5] Loading content from database...
2014-12-14 00:18:57,258 [10] INFO  umbraco.content - [Thread 29] Loading content from database...
2014-12-14 00:21:17,927 [10] INFO  umbraco.content - [Thread 23] Loading content from database...
2014-12-14 00:21:43,764 [10] INFO  umbraco.content - [Thread 22] Loading content from database...
2014-12-14 00:21:46,752 [10] INFO  umbraco.content - [Thread 13] Loading content from database...
2014-12-14 00:28:17,074 [10] INFO  umbraco.content - [Thread 11] Loading content from database...
2014-12-14 00:28:43,367 [10] INFO  umbraco.content - [Thread 34] Loading content from database...
2014-12-14 00:30:07,637 [10] INFO  umbraco.content - [Thread 36] Loading content from database...
2014-12-14 00:30:26,228 [10] INFO  umbraco.content - [Thread 36] Loading content from database...
2014-12-14 00:30:37,290 [10] INFO  umbraco.content - [Thread 30] Loading content from database...
2014-12-14 00:30:59,125 [10] INFO  umbraco.content - [Thread 25] Loading content from database...
2014-12-14 00:33:49,533 [7] INFO  umbraco.BusinessLogic.Log - [Thread 33] Log scrubbed.  Removed all items older than 2014-10-15 00:33:49
2014-12-14 00:33:49,534 [7] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 33] Application shutdown. Reason: BinDirChangeOrDirectoryRename
2014-12-14 00:33:51,785 [10] INFO  umbraco.BusinessLogic.Log - [Thread 32] Log scrubbed.  Removed all items older than 2014-10-15 00:33:51
2014-12-14 00:33:51,786 [10] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 32] Application shutdown. Reason: BinDirChangeOrDirectoryRename
2014-12-14 00:33:53,183 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Determining hash of code files on disk
2014-12-14 00:33:53,190 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Hash determined (took 4ms)
2014-12-14 00:33:53,195 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2014-12-14 00:33:53,327 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 17 (took 129ms)
2014-12-14 00:33:53,338 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2014-12-14 00:33:53,348 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 11 (took 9ms)
2014-12-14 00:33:53,350 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2014-12-14 00:33:53,353 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 3ms)
2014-12-14 00:33:53,353 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2014-12-14 00:33:53,357 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 3 (took 5ms)
2014-12-14 00:33:53,359 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2014-12-14 00:33:53,364 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 4ms)
2014-12-14 00:33:53,364 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2014-12-14 00:33:53,367 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 4ms)
2014-12-14 00:33:53,779 [8] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 22] Initializing Examine and binding to business logic events
2014-12-14 00:33:53,887 [8] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 22] Adding examine event handlers for index providers: 3
2014-12-14 00:33:53,894 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Starting resolution types of umbraco.interfaces.IApplication
2014-12-14 00:33:53,905 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 11ms)
2014-12-14 00:33:53,923 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Starting resolution types of umbraco.interfaces.ITree
2014-12-14 00:33:53,952 [8] INFO  Umbraco.Core.PluginManager - [Thread 22] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 28ms)
2014-12-14 00:33:55,389 [8] INFO  Umbraco.Core.PluginManager - [Thread 6] Starting resolution types of umbraco.interfaces.IPackageAction
2014-12-14 00:33:55,411 [8] INFO  Umbraco.Core.PluginManager - [Thread 6] Completed resolution of types of umbraco.interfaces.IPackageAction, found 16 (took 21ms)
2014-12-14 00:33:55,433 [8] INFO  Umbraco.Core.PluginManager - [Thread 6] Starting resolution types of umbraco.interfaces.IApplication
2014-12-14 00:33:55,442 [8] INFO  Umbraco.Core.PluginManager - [Thread 6] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 9ms)
2014-12-14 00:33:55,444 [8] INFO  Umbraco.Core.PluginManager - [Thread 6] Starting resolution types of umbraco.interfaces.ITree
2014-12-14 00:33:55,472 [8] INFO  Umbraco.Core.PluginManager - [Thread 6] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 28ms)
2014-12-14 00:33:55,482 [8] INFO  Umbraco.Core.PluginManager - [Thread 6] Starting resolution types of umbraco.interfaces.ICacheRefresher
2014-12-14 00:33:55,495 [8] INFO  Umbraco.Core.PluginManager - [Thread 6] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 22 (took 13ms)
2014-12-14 00:33:55,508 [8] INFO  umbraco.content - [Thread 33] Loading content from database...
2014-12-14 00:33:56,055 [8] INFO  Umbraco.Core.PluginManager - [Thread 32] Starting resolution types of umbraco.interfaces.ITree
2014-12-14 00:33:56,082 [8] INFO  Umbraco.Core.PluginManager - [Thread 32] Completed resolution of types of umbraco.interfaces.ITree, found 38 (took 27ms)
2014-12-14 00:33:56,085 [8] INFO  Umbraco.Core.PluginManager - [Thread 32] Starting resolution types of umbraco.interfaces.ITree
2014-12-14 00:33:56,086 [8] INFO  Umbraco.Core.PluginManager - [Thread 32] Completed resolution of types of umbraco.interfaces.ITree, found 38 (took 0ms)
2014-12-14 00:33:56,089 [8] INFO  Umbraco.Core.PluginManager - [Thread 32] Starting resolution types of umbraco.BusinessLogic.Actions.IActionHandler
2014-12-14 00:33:56,095 [8] INFO  Umbraco.Core.PluginManager - [Thread 32] Completed resolution of types of umbraco.BusinessLogic.Actions.IActionHandler, found 1 (took 5ms)
2014-12-14 00:33:56,095 [8] INFO  Umbraco.Core.PluginManager - [Thread 32] Starting resolution types of umbraco.BusinessLogic.Actions.IActionHandler
2014-12-14 00:33:56,095 [8] INFO  Umbraco.Core.PluginManager - [Thread 32] Completed resolution of types of umbraco.BusinessLogic.Actions.IActionHandler, found 1 (took 0ms)
2014-12-14 00:33:56,245 [8] INFO  Umbraco.Core.PluginManager - [Thread 30] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2014-12-14 00:33:56,250 [8] INFO  Umbraco.Core.PluginManager - [Thread 30] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 17 (took 5ms)
2014-12-14 00:34:45,437 [8] INFO  umbraco.BusinessLogic.Log - [Thread 11] Log scrubbed.  Removed all items older than 2014-10-15 00:34:45
2014-12-14 00:34:45,437 [8] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 11] Application shutdown. Reason: ConfigurationChange
2014-12-14 00:34:47,561 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Determining hash of code files on disk
2014-12-14 00:34:47,577 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Hash determined (took 4ms)
2014-12-14 00:34:47,584 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2014-12-14 00:34:47,709 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 17 (took 130ms)
2014-12-14 00:34:47,709 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2014-12-14 00:34:47,709 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 11 (took 8ms)
2014-12-14 00:34:47,725 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2014-12-14 00:34:47,725 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 6ms)
2014-12-14 00:34:47,725 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2014-12-14 00:34:47,725 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 3 (took 5ms)
2014-12-14 00:34:47,725 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2014-12-14 00:34:47,740 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 7ms)
2014-12-14 00:34:47,740 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2014-12-14 00:34:47,740 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 6ms)
2014-12-14 00:34:48,110 [23] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 7] Initializing Examine and binding to business logic events
2014-12-14 00:34:48,172 [23] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 7] Adding examine event handlers for index providers: 3
2014-12-14 00:34:48,188 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Starting resolution types of umbraco.interfaces.IApplication
2014-12-14 00:34:48,204 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 15ms)
2014-12-14 00:34:48,219 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Starting resolution types of umbraco.interfaces.ITree
2014-12-14 00:34:48,250 [23] INFO  Umbraco.Core.PluginManager - [Thread 7] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 26ms)
2014-12-14 00:34:52,361 [23] INFO  Umbraco.Core.PluginManager - [Thread 32] Starting resolution types of umbraco.interfaces.ITree
2014-12-14 00:34:52,390 [23] INFO  Umbraco.Core.PluginManager - [Thread 32] Completed resolution of types of umbraco.interfaces.ITree, found 38 (took 29ms)
2014-12-14 00:34:52,424 [23] INFO  Umbraco.Core.PluginManager - [Thread 32] Starting resolution types of umbraco.BusinessLogic.Actions.IActionHandler
2014-12-14 00:34:52,430 [23] INFO  Umbraco.Core.PluginManager - [Thread 32] Completed resolution of types of umbraco.BusinessLogic.Actions.IActionHandler, found 1 (took 6ms)
2014-12-14 00:35:16,954 [23] INFO  Umbraco.Core.PluginManager - [Thread 30] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2014-12-14 00:35:16,959 [23] INFO  Umbraco.Core.PluginManager - [Thread 30] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 17 (took 4ms)
2014-12-14 00:35:36,242 [23] INFO  umbraco.cms.businesslogic.web.Document - [Thread 11] New document 1080
2014-12-14 00:35:36,254 [23] INFO  Umbraco.Core.PluginManager - [Thread 11] Starting resolution types of umbraco.interfaces.IDataType
2014-12-14 00:35:36,300 [23] INFO  Umbraco.Core.PluginManager - [Thread 11] Completed resolution of types of umbraco.interfaces.IDataType, found 81 (took 45ms)
2014-12-14 00:35:48,719 [23] INFO  Umbraco.Core.Services.ContentService - [Thread 29] Content 'HomePage' with Id '1080' could not be published because of invalid properties.
2014-12-14 00:36:06,071 [23] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 32] Content 'HomePage' with Id '1080' has been published.
2014-12-14 00:36:06,194 [23] INFO  Umbraco.Core.PluginManager - [Thread 32] Starting resolution types of umbraco.interfaces.ICacheRefresher
2014-12-14 00:36:06,214 [23] INFO  Umbraco.Core.PluginManager - [Thread 32] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 22 (took 20ms)
2014-12-14 00:36:06,230 [23] INFO  umbraco.content - [Thread 32] Loading content from disk cache...
2014-12-14 00:36:25,572 [23] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 29] Content 'HomePage' with Id '1080' has been published.
2014-12-14 00:49:26,531 [23] INFO  umbraco.cms.businesslogic.web.Document - [Thread 29] New document 1082
2014-12-14 00:49:29,692 [23] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 36] Content 'Top Page Components' with Id '1082' has been published.
2014-12-14 00:50:01,253 [23] INFO  umbraco.cms.businesslogic.web.Document - [Thread 40] New document 1083
2014-12-14 00:50:04,783 [23] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 5] Content 'Home Page Slider' with Id '1083' has been published.
2014-12-14 00:50:27,425 [23] INFO  umbraco.cms.businesslogic.web.Document - [Thread 27] New document 1084
2014-12-14 00:50:31,108 [23] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 24] Content 'Side Page Components' with Id '1084' has been published.
2014-12-14 00:53:30,197 [23] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 8] Content 'Home Page Slider' with Id '1083' has been published.
2014-12-14 00:53:53,902 [23] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 40] Content 'HomePage' with Id '1080' has been published.
2014-12-14 00:54:28,161 [23] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 40] Content 'HomePage' with Id '1080' has been published.
2014-12-14 00:54:44,624 [23] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 20] Content 'HomePage' with Id '1080' has been published.
2014-12-14 00:54:55,383 [23] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 40] Content 'HomePage' with Id '1080' has been published.
2014-12-14 00:55:03,375 [23] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 40] Content 'Home Page Slider' with Id '1083' has been published.
2014-12-14 00:55:59,628 [23] INFO  umbraco.cms.businesslogic.web.Document - [Thread 34] New document 1086
2014-12-14 00:56:02,978 [23] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 10] Content 'Home Page Banner' with Id '1086' has been published.
2014-12-14 00:58:36,986 [23] INFO  umbraco.cms.businesslogic.web.Document - [Thread 31] New document 1087
2014-12-14 00:58:40,078 [23] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 40] Content 'About Us Page Banner' with Id '1087' has been published.
2014-12-14 00:59:19,715 [23] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 31] Content 'HomePage' with Id '1080' has been published.
2014-12-14 00:59:27,349 [23] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 38] Content 'HomePage' with Id '1080' has been published.
2014-12-14 01:01:29,325 [23] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 11] Content 'HomePage' with Id '1080' has been published.
2014-12-14 01:02:37,611 [23] INFO  Umbraco.Core.PluginManager - [Thread 32] Starting resolution types of Umbraco.Web.BaseRest.RestExtensionAttribute
2014-12-14 01:02:37,628 [23] INFO  Umbraco.Core.PluginManager - [Thread 32] Completed resolution of types of Umbraco.Web.BaseRest.RestExtensionAttribute, found 4 (took 16ms)
2014-12-14 01:04:24,574 [23] INFO  Umbraco.Core.PluginManager - [Thread 35] Starting resolution types of umbraco.cms.businesslogic.media.IMediaFactory
2014-12-14 01:04:24,579 [23] INFO  Umbraco.Core.PluginManager - [Thread 35] Completed resolution of types of umbraco.cms.businesslogic.media.IMediaFactory, found 2 (took 4ms)
2014-12-14 01:04:24,837 [23] INFO  umbraco.presentation.umbraco.webservices.MediaUploader - [Thread 35] Success uploading to parent -1
2014-12-14 01:05:43,099 [23] INFO  umbraco.content - [Thread 8] Loading content from database...
2014-12-14 01:06:13,136 [23] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 11] Content 'HomePage' with Id '1080' has been published.
2014-12-14 01:06:47,635 [23] ERROR umbraco.editorControls.tinyMCE3.TinyMCE - [Thread 20] Error adding stylesheet to tinymce Id:1049
System.NullReferenceException: Object reference not set to an instance of an object.
   at umbraco.editorControls.tinyMCE3.TinyMCE..ctor(IData Data, String Configuration)
2014-12-14 01:06:47,644 [23] ERROR umbraco.editorControls.tinyMCE3.TinyMCE - [Thread 20] Error adding stylesheet to tinymce Id:1049
System.NullReferenceException: Object reference not set to an instance of an object.
   at umbraco.editorControls.tinyMCE3.TinyMCE..ctor(IData Data, String Configuration)
2014-12-14 01:07:23,371 [23] INFO  umbraco.BusinessLogic.Log - [Thread 28] Log scrubbed.  Removed all items older than 2014-10-15 01:07:23
2014-12-14 01:07:23,373 [23] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 28] Application shutdown. Reason: BinDirChangeOrDirectoryRename
2014-12-14 01:07:30,130 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2014-12-14 01:07:30,139 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Hash determined (took 6ms)
2014-12-14 01:07:30,143 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2014-12-14 01:07:30,301 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 17 (took 155ms)
2014-12-14 01:07:30,314 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2014-12-14 01:07:30,332 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 11 (took 18ms)
2014-12-14 01:07:30,334 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2014-12-14 01:07:30,341 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 6ms)
2014-12-14 01:07:30,341 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2014-12-14 01:07:30,345 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 3 (took 4ms)
2014-12-14 01:07:30,351 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2014-12-14 01:07:30,363 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 12ms)
2014-12-14 01:07:30,363 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2014-12-14 01:07:30,370 [7] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 6ms)
